Article Name,Company Name,Article Type,Wash,Dry,Color,Only With Like Colors,Dry Spin Intensity,Wash Spin Intensity,Remove Promptly,Handwash,Dry Clean,,,,,,,,,
gray Mellanni flat bed sheet,Mellanni,Bedding,Cold,Low,Grey,Yes,Gentle,Gentle,Yes,No,No,,,,,,,,,
yellow striped pillow case,Just Home,Bedding,Cold,Low,Yellow,Yes,Normal,Normal,Yes,No,No,,,,,,,,,
Olive green bedsheet,Mellani,Bedding,Warm,Low,Colored,Yes,Permanent Press,Permanent Press,No,No,No,,,,,,,,,
Ee Emiqude blue checkered button down,Ee Emiqude,Button-Down Shirt,Cold,Hang,Colored,No,?,Normal,No,Yes,Yes,,,,,,,,,
White Holister Shirt,Holister,Casual Shirt,Cold,Low,White,Yes,?,?,No,No,No,,,,,,,,,
"blue, grey, white striped shirt",Bannana Republic,Button-Down Shirt,Warm,Medium,Colored,No,Normal,Normal,No,No,Yes,,,,,,,,,
"purple, blue, white checkered shirt",Kirkland,Button-Down Shirt,Warm,Medium,Colored,No,Normal,Normal,No,No,Yes,,,,,,,,,
Buttoned Down navy blue checkered shirt,Buttoned Down,Button-Down Shirt,Warm,Low,Dark Blue,Yes,Normal,Normal,No,No,No,,,,,,,,,
"green, white checkered shirt",Clearlove,Button-Down Shirt,Cold,Hang,Green,Yes,Gentle,Gentle,No,Yes,Yes,,,,,,,,,
"red, white checkered shirt",Clearlove,Button-Down Shirt,Cold,Hang,Red,Yes,Gentle,Gentle,No,Yes,Yes,,,,,,,,,
White Hollister pajamas,Hollister,Sweatpants,Cold,Low,White,Yes,Normal,Normal,No,No,No,,,,,,,,,
Brandless Tagless Undershirt,Brandless,Undershirt,Cold,Low,White,Yes,Normal,Normal,No,No,No,,,,,,,,,
Fruit of The Loom Medium Undershirt,Fruit of The Loom,Undershirt,Cold,Low,White,Yes,Normal,Normal,No,No,No,,,,,,,,,
white pillow case with grey circles,Ikea,Bedding,Hot,Medium,White,No,Normal,Normal,No,No,No,,,,,,,,,
white flat sheet with grey circles,Ikea,Bedding,Hot,Medium,White,No,Normal,Normal,No,No,No,,,,,,,,,
Goodfellow red gray white checkered shirt,Goodfellow,Button-Down Shirt,Cold,Low,Red,Yes,Gentle,Gentle,Yes,No,Yes,,,,,,,,,
Dockers white shirt,Dockers,Button-Down Shirt,Cold,Medium,White,Yes,Normal,Normal,Yes,No,Yes,,,,,,,,,
Covington white shirt,Covington,Button-Down Shirt,Warm,Low,White,Yes,Normal,Normal,Yes,No,Yes,,,,,,,,,
American eagle black shirt with matching tank top,American eagle,Casual Shirt,Cold,Low,Black,No,Normal,Normal,No,No,No,,,,,,,,,
Hollister blue t-shirt,Hollister,Casual Shirt,Cold,Low,Light Blue,Yes,Normal,Normal,No,No,No,,,,,,,,,
eagle white shirt,eagle,Button-Down Shirt,Warm,Low,White,Yes,Normal,Normal,Yes,No,No,,,,,,,,,
Camp r a y i m shirt,Jerzees,Casual Shirt,Warm,Low,Dark Blue,Yes,Normal,Normal,No,No,No,,,,,,,,,
Grey Hanes T-Shirt,Hanes,Casual Shirt,Warm,Medium,Grey,?,Normal,Normal,No,No,No,,,,,,,,,
Red Y&L Shirt,Gildan,Casual Shirt,Warm,Medium,Red,Yes,Normal,Normal,No,No,No,,,,,,,,,
Billy London pants,Billy London,Pants,?,?,Black,?,?,?,?,?,Yes,,,,,,,,,
Hagers Pants,Hagers,Pants,Cold,Low,Black,Yes,Normal,Normal,Yes,No,Yes,,,,,,,,,
Urban Star Jeans,Urban Star,Pants,Cold,Low,Grey,Yes,?,?,Yes,No,No,,,,,,,,,
Arrow black pants,Arrow,Pants,Warm,Low,Dark,Yes,Normal,Gentle,Yes,No,Yes,,,,,,,,,
IZOD blue kakis,IZOD,Pants,Warm,Low,Dark,Yes,Normal,Gentle,Yes,No,No,,,,,,,,,
black shorts (favorite),?,Shorts,Cold,Low,Black,No,Normal,Gentle,No,No,No,,,,,,,,,
OCA shorts,Brandless,Shorts,Cold,Low,Colored,No,Normal,Normal,No,No,No,,,,,,,,,
Adidas black and white shorts,Adidas,Shorts,Warm,Low,Black,No,Normal,Normal,No,No,No,,,,,,,,,
Orioles Sweatpants,Sideline Apparel,Sweatpants,Cold,Low,Dark,Yes,Normal,Normal,No,No,No,,,,,,,,,
Stafford black and white pajamas,Stafford,Sweatpants,Cold,Low,Dark,Yes,Normal,Normal,No,No,No,,,,,,,,,
Paul Frederick white shirt,Paul Frederick,Button-Down Shirt,Warm,Low,White,Yes,?,?,Yes,No,Yes,,,,,,,,,
Camp Stone sweatpants,Gildan,Sweatpants,Warm,Medium,Grey,No,Normal,Normal,No,No,No,,,,,,,,,
Striped Green Orange White Towel,Brandless,Towel,Cold,Low,Colored,No,Normal,Normal,No,No,No,,,,,,,,,
Turkish Finest Blue Large Towel,Turkish Finest,Towel,Cold,Low,Light Blue,Yes,Gentle,Gentle,Yes,No,No,,,,,,,,,
Dark Blue Towel,Mainstays,Towel,Warm,Low,Dark,Yes,Normal,Normal,No,No,No,,,,,,,,,
light grey hand towel,Charisma,Towel,Warm,Low,Light Blue,Yes,Normal,Normal,No,No,No,,,,,,,,,
Opal House Sky Blue Towel,Opal House,Towel,Warm,Medium,Light Blue,Yes,Normal,Normal,No,No,No,,,,,,,,,
red tank top,fruit of the loom,Undershirt,Cold,Low,Red,Yes,Normal,Normal,No,No,No,,,,,,,,,
Pierre Cardin white shirt,Pierre Cardin,Button-Down Shirt,Warm,Low,White,Yes,?,?,Yes,No,Yes,,,,,,,,,
van heusen white shirt,Van Heusen,Button-Down Shirt,Warm,Medium,White,Yes,Permanent Press,Permanent Press,Yes,No,Yes,,,,,,,,,
Hanes Medium Undershirt,Hanes,Undershirt,Warm,Medium,White,Yes,Normal,Normal,No,No,No,,,,,,,,,
